event,player,group,threshold,BetMGM,BetRivers,Bovada,DraftKings,ESPNBET,FanDuel,Fanatics,HardRockBet,best_book,best_odds,best_decimal,avg_other,value_ratio
Atlanta Hawks @ Utah Jazz,Walter Clayton Jr.,Rebounds,4,,,,283.0,,,,400.0,HardRockBet,400.0,5.0,3.83,1.3054830287206267
Atlanta Hawks @ Utah Jazz,Lauri Markkanen,Points,40,,,750.0,1340.0,,1060.0,,1200.0,DraftKings,1340.0,14.4,11.033333333333333,1.3051359516616314
Atlanta Hawks @ Utah Jazz,Kyle Filipowski,Rebounds,12,,,,1340.0,,1060.0,650.0,1300.0,DraftKings,1340.0,14.4,11.033333333333333,1.3051359516616314
Indiana Pacers @ Phoenix Suns,Devin Booker,Threes,6,,,2100.0,2900.0,2000.0,2500.0,,,DraftKings,2900.0,30.0,23.0,1.3043478260869565
Atlanta Hawks @ Utah Jazz,Keyonte George,Points,30,875.0,,550.0,710.0,,680.0,650.0,650.0,BetMGM,875.0,9.75,7.4799999999999995,1.303475935828877
Atlanta Hawks @ Utah Jazz,Nickeil Alexander-Walker,Threes,5,525.0,,750.0,910.0,,850.0,,575.0,DraftKings,910.0,10.1,7.75,1.303225806451613
Toronto Raptors @ Cleveland Cavaliers,De'Andre Hunter,Assists,5,,,550.0,810.0,,,550.0,700.0,DraftKings,810.0,9.1,7.0,1.3
Indiana Pacers @ Phoenix Suns,Dillon Brooks,Threes,6,,,1200.0,1720.0,1400.0,1300.0,,,DraftKings,1720.0,18.2,14.0,1.3
Atlanta Hawks @ Utah Jazz,Svi Mykhailiuk,Rebounds,6,,,,840.0,,800.0,600.0,1000.0,HardRockBet,1000.0,11.0,8.466666666666667,1.2992125984251968
Toronto Raptors @ Cleveland Cavaliers,Jakob Poeltl,Assists,4,,,,526.0,,,340.0,425.0,DraftKings,526.0,6.26,4.825,1.2974093264248703
Atlanta Hawks @ Utah Jazz,Kyle Filipowski,Assists,3,,,,169.0,,,140.0,230.0,HardRockBet,230.0,3.3,2.545,1.2966601178781925
Toronto Raptors @ Cleveland Cavaliers,Evan Mobley,Rebounds,14,,,,413.0,,540.0,375.0,,FanDuel,540.0,6.4,4.9399999999999995,1.2955465587044537
Toronto Raptors @ Cleveland Cavaliers,Jarrett Allen,Assists,4,,,,650.0,,,850.0,1000.0,HardRockBet,1000.0,11.0,8.5,1.2941176470588236
Toronto Raptors @ Cleveland Cavaliers,Scottie Barnes,Steals,4,,,,1220.0,,920.0,,,DraftKings,1220.0,13.2,10.2,1.2941176470588236
Atlanta Hawks @ Utah Jazz,Jalen Johnson,Assists,10,425.0,,,660.0,,,550.0,,DraftKings,660.0,7.6,5.875,1.2936170212765956
Indiana Pacers @ Phoenix Suns,Andrew Nembhard,Assists,12,,,,870.0,900.0,800.0,750.0,1100.0,HardRockBet,1100.0,12.0,9.3,1.2903225806451613
Atlanta Hawks @ Utah Jazz,Isaiah Collier,Points,20,,,1200.0,1920.0,,1700.0,,1500.0,DraftKings,1920.0,20.2,15.666666666666666,1.2893617021276595
Toronto Raptors @ Cleveland Cavaliers,De'Andre Hunter,Assists,6,,,,1960.0,,1400.0,,1600.0,DraftKings,1960.0,20.6,16.0,1.2875
Indiana Pacers @ Phoenix Suns,Devin Booker,Points,50,,,2200.0,2900.0,,3500.0,,3000.0,FanDuel,3500.0,36.0,28.0,1.2857142857142858
Atlanta Hawks @ Utah Jazz,Svi Mykhailiuk,Assists,5,,,,567.0,,,400.0,650.0,HardRockBet,650.0,7.5,5.835,1.2853470437017995
Atlanta Hawks @ Utah Jazz,Walter Clayton Jr.,Assists,5,,,,309.0,,,,425.0,HardRockBet,425.0,5.25,4.09,1.2836185819070904
Atlanta Hawks @ Utah Jazz,Svi Mykhailiuk,Threes,6,,,2000.0,2400.0,,1700.0,,,DraftKings,2400.0,25.0,19.5,1.2820512820512822
Toronto Raptors @ Cleveland Cavaliers,R.J. Barrett,Threes,6,,,2000.0,2400.0,,1700.0,,,DraftKings,2400.0,25.0,19.5,1.2820512820512822
Indiana Pacers @ Phoenix Suns,Jarace Walker,Rebounds,8,,,,730.0,900.0,1000.0,650.0,,FanDuel,1000.0,11.0,8.6,1.2790697674418605
Indiana Pacers @ Phoenix Suns,Grayson Allen,Assists,7,625.0,,475.0,518.0,,,375.0,500.0,BetMGM,625.0,7.25,5.67,1.2786596119929454
Indiana Pacers @ Phoenix Suns,Andrew Nembhard,Points,35,,,2800.0,4200.0,,4000.0,,3000.0,DraftKings,4200.0,43.0,33.666666666666664,1.2772277227722773
Atlanta Hawks @ Utah Jazz,Svi Mykhailiuk,Points,15,475.0,255.0,375.0,386.0,,370.0,320.0,400.0,BetMGM,475.0,5.75,4.51,1.2749445676274944
Toronto Raptors @ Cleveland Cavaliers,Sam Merrill,Rebounds,6,,,,1100.0,,,900.0,1300.0,HardRockBet,1300.0,14.0,11.0,1.2727272727272727
Atlanta Hawks @ Utah Jazz,Zaccharie Risacher,Rebounds,7,875.0,,700.0,690.0,,,475.0,800.0,BetMGM,875.0,9.75,7.6625,1.272430668841762
Toronto Raptors @ Cleveland Cavaliers,Scottie Barnes,Threes,4,1000.0,,800.0,670.0,,830.0,,,BetMGM,1000.0,11.0,8.666666666666666,1.2692307692307694
Atlanta Hawks @ Utah Jazz,Isaiah Collier,Rebounds,5,,,,160.0,,,160.0,230.0,HardRockBet,230.0,3.3,2.6,1.2692307692307692
Toronto Raptors @ Cleveland Cavaliers,R.J. Barrett,Points,30,900.0,,600.0,690.0,,750.0,650.0,750.0,BetMGM,900.0,10.0,7.88,1.2690355329949239
Toronto Raptors @ Cleveland Cavaliers,Brandon Ingram,Points,40,,,2400.0,4000.0,,4000.0,,3000.0,DraftKings,4000.0,41.0,32.333333333333336,1.268041237113402
Atlanta Hawks @ Utah Jazz,Keyonte George,Rebounds,7,650.0,,475.0,810.0,,,550.0,800.0,DraftKings,810.0,9.1,7.1875,1.266086956521739
Indiana Pacers @ Phoenix Suns,Ben Sheppard,Points,15,,,1000.0,1240.0,1200.0,1400.0,900.0,,FanDuel,1400.0,15.0,11.85,1.2658227848101267
Indiana Pacers @ Phoenix Suns,Andrew Nembhard,Points,30,,,1200.0,1360.0,1400.0,1500.0,,1750.0,HardRockBet,1750.0,18.5,14.65,1.2627986348122866
Indiana Pacers @ Phoenix Suns,Grayson Allen,Points,25,425.0,,525.0,534.0,550.0,560.0,375.0,650.0,HardRockBet,650.0,7.5,5.948333333333333,1.260857383020454
Atlanta Hawks @ Utah Jazz,Dyson Daniels,Points,25,,,750.0,1220.0,,900.0,,1200.0,DraftKings,1220.0,13.2,10.5,1.2571428571428571
Atlanta Hawks @ Utah Jazz,Zaccharie Risacher,Rebounds,6,,285.0,,350.0,,450.0,290.0,425.0,FanDuel,450.0,5.5,4.375,1.2571428571428571
Atlanta Hawks @ Utah Jazz,Jusuf Nurkic,Threes,1,,,,-158.0,,,,105.0,HardRockBet,105.0,2.05,1.6329113924050633,1.2554263565891473
Toronto Raptors @ Cleveland Cavaliers,Jakob Poeltl,Points,15,550.0,,400.0,440.0,,450.0,350.0,450.0,BetMGM,550.0,6.5,5.18,1.254826254826255
