event,player,group,threshold,BetRivers,Bovada,Caesars,DraftKings,ESPNBET,FanDuel,Fanatics,HardRockBet,betPARX,best_book,best_odds,best_decimal,avg_other,value_ratio
New York Giants @ Denver Broncos,Troy Franklin,AnytimeTD,Anytime,,,,,,,,300.0,,HardRockBet,300.0,4.0,,
New York Giants @ Denver Broncos,Tyler Badie,AnytimeTD,Anytime,,,,,,,,1500.0,,HardRockBet,1500.0,16.0,,
New York Giants @ Denver Broncos,Tyrone Tracy Jr.,AnytimeTD,Anytime,,,,,,,,375.0,,HardRockBet,375.0,4.75,,
New York Giants @ Denver Broncos,Wan'Dale Robinson,AnytimeTD,Anytime,,,,,,,,260.0,,HardRockBet,260.0,3.6,,
New York Giants @ Denver Broncos,Wan'Dale Robinson,Receiving,25,,,,,,,,-350.0,,HardRockBet,-350.0,1.2857142857142856,,
New York Giants @ Denver Broncos,Wan'Dale Robinson,Receiving,50,,,,,,,,115.0,,HardRockBet,115.0,2.15,,
New York Giants @ Denver Broncos,Wan'Dale Robinson,Receiving,80,,,,,,,,400.0,,HardRockBet,400.0,5.0,,
Philadelphia Eagles @ Minnesota Vikings,Jalen Hurts,AnytimeTD,Anytime,,,,-110.0,,,,,,DraftKings,-110.0,1.9090909090909092,,
Philadelphia Eagles @ Minnesota Vikings,Jordan Mason,AnytimeTD,Anytime,,,,-150.0,,,,,,DraftKings,-150.0,1.6666666666666665,,
Philadelphia Eagles @ Minnesota Vikings,Justin Jefferson,AnytimeTD,Anytime,,,,130.0,,,,,,DraftKings,130.0,2.3,,
Philadelphia Eagles @ Minnesota Vikings,Saquon Barkley,AnytimeTD,Anytime,,,,-140.0,,,,,,DraftKings,-140.0,1.7142857142857144,,
Pittsburgh Steelers @ Cincinnati Bengals,Chase Brown,Receiving,25,,,,,,178.0,,,,FanDuel,178.0,2.7800000000000002,,
Pittsburgh Steelers @ Cincinnati Bengals,Chase Brown,Rushing,110,,,,2300.0,,,,,,DraftKings,2300.0,24.0,,
